wojewodztwo;powiat;miasto;kod_pocztowy;ulica;typ_ulica
pomorskie;M. Gdynia;Gdynia;81-109;Admira³a Dickmanna Arnolda;ul.
pomorskie;M. Gdynia;Gdynia;81-181;Admira³a Unruga J.;ul.
pomorskie;M. Gdynia;Gdynia;81-153;Admira³a Unruga J.;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-212;Admira³a Unruga Józefa;ul.
mazowieckie;M. Warszawa;Warszawa;02-761;Adriatycka;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-532;Adwentowicza Karola;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-537;Adwentowicza Karola;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-534;Adwentowicza Karola;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-536;Adwentowicza Karola;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-535;Adwentowicza Karola;ul.
mazowieckie;M. Radom;Radom;26-617;Adwentowicza Karola;ul.
œl¹skie;M. Katowice;Katowice;40-559;Adwentowicza Karola;ul.
pomorskie;M. Gdynia;Gdynia;81-527;Adwokacka;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-305;Adwokacka;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-117;Afgañska;ul.
mazowieckie;M. Warszawa;Warszawa;01-497;Afrodyty;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-119;Afrodyty;ul.
pomorskie;M. Gdañsk;Gdañsk;80-299;Afrodyty;ul.
pomorskie;M. Gdynia;Gdynia;81-601;Afrodyty;ul.
mazowieckie;M. Warszawa;Warszawa;03-966;Afrykañska;ul.
pomorskie;M. Gdynia;Gdynia;81-118;Afrykañska;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-156;Agatki;ul.
mazowieckie;M. Warszawa;Warszawa;03-680;Agatowa;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-077;Agatowa;ul.
lubelskie;M. Lublin;Lublin;20-571;Agatowa;ul.
ma³opolskie;M. Kraków;Kraków;30-798;Agatowa;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-322;Agatowa;ul.
wielkopolskie;M. Poznañ;Poznañ;61-680;Agatowa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-012;Agatowa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-369;Agatowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-360;Agatowa;ul.
mazowieckie;M. Warszawa;Warszawa;02-882;Agaty;ul.
œl¹skie;M. Katowice;Katowice;40-459;Agaty ;ul.
œl¹skie;M. Katowice;Katowice;40-458;Agaty ;ul.
mazowieckie;M. Warszawa;Warszawa;01-158;Agawy;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-077;Agawy;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-583;Agawy;ul.
ma³opolskie;M. Kraków;Kraków;30-737;Agawy;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-382;Agawy;ul.
mazowieckie;M. Warszawa;Warszawa;03-663;Agnieszki;ul.
œl¹skie;M. Katowice;Katowice;40-110;Agnieszki;ul.
œl¹skie;raciborski;Racibórz;47-400;Agnieszki;ul.
mazowieckie;M. Warszawa;Warszawa;04-269;Agrarna;ul.
pomorskie;M. Gdañsk;Gdañsk;80-298;Agrarna;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-035;Agrestowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-006;Agrestowa;ul.
mazowieckie;M. Warszawa;Warszawa;04-847;Agrestowa;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-327;Agrestowa;ul.
lubelskie;M. Lublin;Lublin;20-140;Agrestowa;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-102;Agrestowa;ul.
ma³opolskie;M. Kraków;Kraków;30-221;Agrestowa;ul.
œl¹skie;M. Zabrze;Zabrze;41-806;Agrestowa;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-303;Agrestowa;ul.
opolskie;M. Opole;Opole;45-427;Agrestowa;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-206;Agrestowa;ul.
wielkopolskie;M. Poznañ;Poznañ;61-307;Agrestowa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-780;Agrestowa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-084;Agrestowa;ul.
pomorskie;M. Gdynia;Gdynia;81-023;Agrestowa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-485;Agrestowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-365;Agrestowa;ul.
lubelskie;M. Lublin;Lublin;20-833;Agronomiczna;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-344;Agronomówka;ul.
mazowieckie;M. Warszawa;Warszawa;00-460;Agrykola;ul.
wielkopolskie;M. Poznañ;Poznañ;61-606;Ajdukiewicza Kazimierza;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-357;Ajnenkiela Eugeniusza;ul.
wielkopolskie;M. Poznañ;Poznañ;60-461;Ajschylosa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-134;Akacjowa;Al.
mazowieckie;M. Warszawa;Warszawa;02-534;Akacjowa;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-075;Akacjowa;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-179;Akacjowa;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-801;Akacjowa;ul.
lubelskie;M. Lublin;Lublin;20-350;Akacjowa;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-535;Akacjowa;ul.
mazowieckie;M. Radom;Radom;26-604;Akacjowa;ul.
ma³opolskie;M. Kraków;Kraków;31-466;Akacjowa;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-113;Akacjowa;ul.
œl¹skie;M. Katowice;Katowice;40-102;Akacjowa;ul.
œl¹skie;M. Siemianowice Œl¹skie;Siemianowice Œl¹skie;41-100;Akacjowa;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-200;Akacjowa;ul.
œl¹skie;M. Mys³owice;Mys³owice;41-409;Akacjowa;ul.
œl¹skie;M. Œwiêtoch³owice;Œwiêtoch³owice;41-600;Akacjowa;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-712;Akacjowa;ul.
œl¹skie;M. Zabrze;Zabrze;41-800;Akacjowa;ul.
œl¹skie;M. Bytom;Bytom;41-902;Akacjowa;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-280;Akacjowa;ul.
œl¹skie;bêdziñski;Bêdzin;42-500;Akacjowa;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;42-530;Akacjowa;ul.
œl¹skie;miko³owski;Miko³ów;43-196;Akacjowa;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-303;Akacjowa;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-600;Akacjowa;ul.
œl¹skie;M. Gliwice;Gliwice;44-100;Akacjowa;ul.
œl¹skie;M. Rybnik;Rybnik;44-270;Akacjowa;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-330;Akacjowa;ul.
opolskie;M. Opole;Opole;45-434;Akacjowa;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-220;Akacjowa;ul.
wielkopolskie;M. Poznañ;Poznañ;61-431;Akacjowa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-027;Akacjowa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-253;Akacjowa;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-684;Akacjowa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-249;Akacjowa;ul.
pomorskie;M. Gdynia;Gdynia;81-520;Akacjowa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-368;Akacjowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-473;Akacjowa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-211;Akademia Medyczna;ul.
mazowieckie;M. Warszawa;Warszawa;02-038;Akademicka;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-267;Akademicka;ul.
lubelskie;M. Lublin;Lublin;20-033;Akademicka;ul.
mazowieckie;M. Radom;Radom;26-605;Akademicka;ul.
ma³opolskie;M. Kraków;Kraków;30-050;Akademicka;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-084;Akademicka;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-218;Akademicka;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-346;Akademicka;ul.
œl¹skie;M. Gliwice;Gliwice;44-100;Akademicka;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-240;Akademicka;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-337;Akademicka;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-791;Akademicka;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-502;Akademicka;ul.
ma³opolskie;M. Kraków;Kraków;31-866;Akademickie;Osiedle
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Akademii Umiejêtnoœci;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-485;Akademii Zamojskiej;ul.
mazowieckie;M. Warszawa;Warszawa;01-491;Akantu;ul.
mazowieckie;M. Warszawa;Warszawa;01-937;Akcent;ul.
mazowieckie;M. Warszawa;Warszawa;02-760;Akermañska;ul.
mazowieckie;M. Warszawa;Warszawa;02-287;Aksamitna;ul.
pomorskie;M. Gdañsk;Gdañsk;80-858;Aksamitna;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-531;Aksamitna;ul.
lubelskie;M. Lublin;Lublin;20-715;Aksini;ul.
pomorskie;M. Gdañsk;Gdañsk;80-299;Akteona;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-346;Aktorów;ul.
mazowieckie;M. Warszawa;Warszawa;02-495;Aktorska;ul.
mazowieckie;M. Warszawa;Warszawa;02-488;Akurat;ul.
mazowieckie;M. Warszawa;Warszawa;02-860;Akustyczna;ul.
mazowieckie;M. Warszawa;Warszawa;04-542;Akwarelowa;ul.
mazowieckie;M. Warszawa;Warszawa;04-517;Akwarelowa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-781;Akwarelowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-227;Akwarelowa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-690;Akwenowa;ul.
mazowieckie;M. Warszawa;Warszawa;00-713;"Al. Godziny ""W""";ul.
mazowieckie;M. Warszawa;Warszawa;03-411;"Al. Lisieckiego Kazimierza ""Dziadka""";ul.
mazowieckie;M. Warszawa;Warszawa;00-422;"Al. Zgrupowania AK ""Kryska""";ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-077;Alabastrowa;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-753;Alabastrowa;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-382;Alabastrowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-641;Alabastrowa;ul.
ma³opolskie;M. Kraków;Kraków;30-662;Albañska;ul.
pomorskie;M. Gdynia;Gdynia;81-121;Albañska;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-448;Albañska;ul.
wielkopolskie;M. Poznañ;Poznañ;60-123;Albañska ;ul.
wielkopolskie;M. Poznañ;Poznañ;60-134;Albañska ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-587;Albatrosa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-436;Albatrosowa;ul.
mazowieckie;M. Warszawa;Warszawa;02-806;Albatrosów;ul.
ma³opolskie;M. Kraków;Kraków;30-716;Albatrosów;ul.
œl¹skie;M. Katowice;Katowice;40-522;Albatrosów;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-346;Albatrosów;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-833;Albatrosów;ul.
œl¹skie;M. Bytom;Bytom;41-923;Alberta;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Alberti Kazimiery;ul.
ma³opolskie;M. Kraków;Kraków;31-851;Albertyñskie ;Osiedle
ma³opolskie;M. Kraków;Kraków;31-852;Albertyñskie ;Osiedle
ma³opolskie;M. Kraków;Kraków;31-853;Albertyñskie ;Osiedle
ma³opolskie;M. Kraków;Kraków;31-854;Albertyñskie ;Osiedle
ma³opolskie;M. Kraków;Kraków;31-855;Albertyñskie ;Osiedle
podkarpackie;³añcucki;Albigowa;37-122;Albigowa;Poczta
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-796;Albrychta Wojciecha;ul.
pomorskie;M. Gdañsk;Gdañsk;80-438;Aldony;ul.
pomorskie;M. Gdynia;Gdynia;81-524;Aldony;ul.
mazowieckie;M. Warszawa;Warszawa;02-786;"Aleja Jana Rodowicza ""Anody""";ul.
mazowieckie;M. Warszawa;Warszawa;04-797;Aleja Nadziei;ul.
mazowieckie;M. Warszawa;Warszawa;02-972;Aleja Rzeczypospolitej;ul.
pomorskie;M. Gdynia;Gdynia;81-336;Aleja Solidarnoœci;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-323;Aleja Solidarnoœci;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-049;Aleje Jana Paw³a II ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-140;Aleje Jana Paw³a II ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-151;Aleje Jana Paw³a II ;ul.
mazowieckie;M. Warszawa;Warszawa;00-495;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-011;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-508;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-017;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-813;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-305;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-304;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-326;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-342;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-208;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-486;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-222;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-374;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-495;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-024;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-692;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-697;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-803;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;02-001;Aleje Jerozolimskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-807;Aleje Jerozolimskie;ul.
lubelskie;M. Lublin;Lublin;20-028;Aleje Rac³awickie ;ul.
lubelskie;M. Lublin;Lublin;20-059;Aleje Rac³awickie ;ul.
lubelskie;M. Lublin;Lublin;20-037;Aleje Rac³awickie ;ul.
lubelskie;M. Lublin;Lublin;20-049;Aleje Rac³awickie ;ul.
lubelskie;M. Lublin;Lublin;20-043;Aleje Rac³awickie ;ul.
mazowieckie;M. Warszawa;Warszawa;00-583;Aleje Ujazdowskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-567;Aleje Ujazdowskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-557;Aleje Ujazdowskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-478;Aleje Ujazdowskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-540;Aleje Ujazdowskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-536;Aleje Ujazdowskie;ul.
mazowieckie;M. Warszawa;Warszawa;00-461;Aleje Ujazdowskie;ul.
lubelskie;M. Lublin;Lublin;20-101;Aleje Zygmuntowskie;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-418;Aleksandra;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-617;Aleksandra Jagielloñczyka;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Aleksandrowicka;ul.
ma³opolskie;M. Kraków;Kraków;30-698;Aleksandrowicza Adolfa;ul.
mazowieckie;M. Radom;Radom;26-617;Aleksandrowicza Juliana;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-201;Aleksandrowska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-155;Aleksandrowska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-229;Aleksandrowska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-120;Aleksandrowska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-151;Aleksandrowska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-205;Aleksandrowska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-224;Aleksandrowska;ul.
mazowieckie;M. Warszawa;Warszawa;04-825;Aleksandrowska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-141;Aleksandrowska;ul.
lubelskie;bi³gorajski;Aleksandrów;23-408;Aleksandrów;Poczta
³ódzkie;piotrkowski;Aleksandrów;26-337;Aleksandrów;Poczta
kujawsko-pomorskie;aleksandrowski;Aleksandrów Kujawski;87-700;Aleksandrów Kujawski;Poczta
kujawsko-pomorskie;aleksandrowski;Aleksandrów Kujawski;87-712;Aleksandrów Kujawski;Poczta
kujawsko-pomorskie;aleksandrowski;Aleksandrów Kujawski;87-700;Aleksandrów Kujawski;Poczta
³ódzkie;zgierski;Aleksandrów £ódzki;95-070;Aleksandrów £ódzki;Poczta
³ódzkie;zgierski;Aleksandrów £ódzki;95-069;Aleksandrów £ódzki;Poczta
œwiêtokrzyskie;M. Kielce;Kielce;25-825;Aleksandrówka;ul.
ma³opolskie;M. Kraków;Kraków;30-837;Aleksandry;ul.
œl¹skie;M. Katowice;Katowice;40-153;Alfreda;Plac
œl¹skie;M. Katowice;Katowice;40-152;Alfreda;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-587;Algebraiczna;ul.
mazowieckie;M. Warszawa;Warszawa;03-977;Algierska;ul.
ma³opolskie;M. Kraków;Kraków;30-660;Algierska;ul.
pomorskie;M. Gdynia;Gdynia;81-120;Algierska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-014;Aliancka;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-639;Aliantów ;Plac
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-640;Aliantów ;Plac
podlaskie;M. Bia³ystok;Bia³ystok;15-160;Aliny;ul.
ma³opolskie;M. Kraków;Kraków;31-417;Aliny;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-329;Aliny;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-412;Alojzego;ul.
œl¹skie;M. Bytom;Bytom;41-902;Alojzjanów;ul.
mazowieckie;M. Warszawa;Warszawa;04-628;Alpejska;ul.
œl¹skie;M. Katowice;Katowice;40-500;Alpejska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;50-573;Alpejska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-497;Alpejska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-790;Alpejska;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-003;Alpejska;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-030;Alsa Roderyka;ul.
pomorskie;M. Gdañsk;Gdañsk;80-732;Altanki;ul.
lubelskie;M. Lublin;Lublin;20-819;Altanowa;ul.
mazowieckie;M. Radom;Radom;26-606;Altanowa;ul.
ma³opolskie;M. Kraków;Kraków;30-132;Altanowa;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-316;Altanowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-425;Altanowa;ul.
wielkopolskie;M. Poznañ;Poznañ;60-480;Altanowa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-790;Altanowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-439;Altanowa;ul.
wielkopolskie;M. Poznañ;Poznañ;61-615;Altera Franciszka;ul.
mazowieckie;M. Warszawa;Warszawa;02-775;Alternatywy;ul.
mazowieckie;M. Warszawa;Warszawa;02-386;Altowa;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-202;Aluminiowa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-725;Aluminiowa;ul.
pomorskie;M. Gdynia;Gdynia;81-151;Aluminiowa;ul.
mazowieckie;M. Warszawa;Warszawa;03-149;Aluzyjna;ul.
ma³opolskie;chrzanowski;Alwernia;32-566;Alwernia;Poczta
mazowieckie;M. Warszawa;Warszawa;03-972;Alzacka;ul.
pomorskie;M. Gdynia;Gdynia;81-118;Alzacka;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-180;A³unowa;ul.
mazowieckie;M. Warszawa;Warszawa;03-599;Amarantowa;ul.
ma³opolskie;M. Kraków;Kraków;30-437;Amarantowa;ul.
opolskie;M. Opole;Opole;45-401;Amarantowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-044;Amarantowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-732;Amarantowa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-128;Amarantowe;ul.
œl¹skie;zawierciañski;Zawiercie;42-400;Amatorska;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-420;Amatorska;ul.
ma³opolskie;M. Kraków;Kraków;30-298;Amazonek;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-360;Amazonitowa;ul.
mazowieckie;M. Warszawa;Warszawa;03-013;Ambaras;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-309;Ambro¿ego Karola;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-217;Ambulatoryjna;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-147;Amelii;ul.
mazowieckie;M. Warszawa;Warszawa;03-675;Ameliñska;ul.
mazowieckie;M. Warszawa;Warszawa;03-680;Ametystowa;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-077;Ametystowa;ul.
lubelskie;M. Lublin;Lublin;20-577;Ametystowa;ul.
ma³opolskie;M. Kraków;Kraków;30-798;Ametystowa;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-322;Ametystowa;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Ametystowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-215;Ametystowa;ul.
wielkopolskie;M. Poznañ;Poznañ;61-680;Ametystowa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-012;Ametystowa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-234;Ametystowa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-180;Ametystowa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-790;Ametystowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-604;Ametystowa;ul.
pomorskie;M. Gdynia;Gdynia;81-601;Ammona;ul.
pomorskie;M. Gdynia;Gdynia;81-601;Amora;ul.
pomorskie;M. Gdañsk;Gdañsk;80-288;Amundsena;ul.
mazowieckie;M. Warszawa;Warszawa;02-776;Amundsena Roalda;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-436;Amurowa;ul.
mazowieckie;M. Warszawa;Warszawa;02-211;Analityczna;ul.
mazowieckie;M. Warszawa;Warszawa;00-711;Ananasowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-054;Ananasowa;ul.
wielkopolskie;M. Poznañ;Poznañ;61-601;Ananasowa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-160;Ananasowa;ul.
pomorskie;M. Gdynia;Gdynia;81-024;Ananasowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-771;Ananasowa;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-608;Anczyca W³adys³awa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-141;Anczyca W³adys³awa;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-262;Anczyca W³adys³awa;ul.
ma³opolskie;M. Kraków;Kraków;30-203;Anczyca W³adys³awa Ludwika;ul.
pomorskie;M. Gdynia;Gdynia;81-136;Andaluzyjska;ul.
ma³opolskie;M. Kraków;Kraków;31-839;Andegaweñska;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Andersa W³adys³awa;Al.
wielkopolskie;M. Poznañ;Poznañ;61-894;Andersa W³adys³awa;Plac
zachodniopomorskie;M. Koszalin;Koszalin;75-013;Andersa W³adys³awa ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-014;Andersa W³adys³awa ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-015;Andersa W³adys³awa ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-012;Andersa W³adys³awa ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-623;Andersa W³adys³awa ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-626;Andersa W³adys³awa ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-625;Andersa W³adys³awa ;ul.
mazowieckie;M. Radom;Radom;26-617;Andersena Christiana;ul.
wielkopolskie;M. Poznañ;Poznañ;60-193;Andersena Christiana;ul.
pomorskie;M. Gdañsk;Gdañsk;80-705;Andersena Christiana;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-792;Andersena Christiana;ul.
³ódzkie;M. £ódŸ;£ódŸ;94-118;Andersena Chrystiana;ul.
ma³opolskie;M. Kraków;Kraków;31-751;Andersena Hansa Christiana;ul.
œl¹skie;M. Czêstochowa;Czêstochowa;42-207;Andersena Hansa Christiana;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-310;Andersena Hansa Christiana;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-799;Andersena Hansa Christiana;ul.
mazowieckie;M. Warszawa;Warszawa;01-911;Andersena Hansa Christiana ;ul.
mazowieckie;M. Warszawa;Warszawa;01-893;Andersena Hansa Christiana ;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-772;Andre Citroena;ul.
³ódzkie;³ódzki wschodni;Andrespol;95-020;Andrespol;Poczta
ma³opolskie;M. Kraków;Kraków;30-638;Andricia Iwona;ul.
mazowieckie;M. Warszawa;Warszawa;01-494;Andriollego Micha³a Elwira;ul.
mazowieckie;M. Warszawa;Warszawa;01-934;Andromedy;ul.
œl¹skie;M. Gliwice;Gliwice;44-117;Andromedy;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-781;Andromedy;ul.
pomorskie;M. Gdañsk;Gdañsk;80-299;Andromedy;ul.
ma³opolskie;M. Kraków;Kraków;30-815;Andrusikiewicza Jana Kantego;ul.
mazowieckie;M. Warszawa;Warszawa;02-969;Andrutowa;ul.
mazowieckie;M. Warszawa;Warszawa;01-447;Andrychowska;ul.
